거래일자,시장ID,종목코드,종목명,시각,결제월,결제월번호,종가
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0900",,"1","101.65"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0901",,"1","101.95"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0902",,"1","101.95"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0903",,"1","101.8"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0904",,"1","102.05"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0905",,"1","101.9"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0906",,"1","101.9"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0907",,"1","102"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0908",,"1","102.05"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0909",,"1","102.25"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0910",,"1","102.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0911",,"1","102.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0912",,"1","102.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0913",,"1","102.6"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0914",,"1","102.8"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0915",,"1","102.75"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0916",,"1","102.75"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0917",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0918",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0919",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0920",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0921",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0922",,"1","102.75"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0923",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0924",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0925",,"1","102.75"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0926",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0927",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0928",,"1","102.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0929",,"1","102.8"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0930",,"1","103.2"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0931",,"1","103.3"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0932",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0933",,"1","103.35"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0934",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0935",,"1","103.35"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0936",,"1","103.35"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0937",,"1","103.25"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0938",,"1","103.35"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0939",,"1","103.35"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0940",,"1","103.25"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0941",,"1","103.15"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0942",,"1","103.1"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0943",,"1","103.15"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0944",,"1","103.15"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0945",,"1","103.2"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0946",,"1","103.2"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0947",,"1","103.25"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0948",,"1","103.3"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0949",,"1","103.2"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0950",,"1","103.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0951",,"1","103.65"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0952",,"1","103.55"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0953",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0954",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0955",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0956",,"1","103.3"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0957",,"1","103.3"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0958",,"1","103.3"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","0959",,"1","103.3"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1000",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1001",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1002",,"1","103.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1003",,"1","103.3"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1004",,"1","103.25"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1005",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1006",,"1","103.55"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1007",,"1","103.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1008",,"1","103.6"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1009",,"1","103.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1010",,"1","103.75"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1011",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1012",,"1","103.55"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1013",,"1","103.65"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1014",,"1","103.65"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1015",,"1","103.65"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1016",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1017",,"1","103.6"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1018",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1019",,"1","103.55"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1020",,"1","103.75"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1021",,"1","103.6"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1022",,"1","103.6"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1023",,"1","103.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1024",,"1","103.8"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1025",,"1","103.7"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1026",,"1","103.55"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1027",,"1","103.55"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1028",,"1","103.65"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1029",,"1","103.8"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1030",,"1","103.55"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1031",,"1","103.6"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1032",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1033",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1034",,"1","103.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1035",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1036",,"1","103.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1037",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1038",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1039",,"1","103.3"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1040",,"1","103.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1041",,"1","103.35"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1042",,"1","103.45"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1043",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1044",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1045",,"1","103.4"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1046",,"1","103.5"
"20040607","DRV","KR4101460000","KOSPI 200 선물 0406","1047",,"1","103.5"
